Time;CLK12;CKE;CKQ;RESETb;ADDR;DATA;AS;DTAC;RWb;COUNT
-0,00050068;1;0;1;1;h1EC3;h1E;1;1;1;1
-0,00050067;1;0;1;1;h1EC3;h1E;0;1;1;1
-0,00050066;0;0;1;1;h1EC3;h1E;0;1;1;1
-0,0005006500000000001;0;0;1;1;h1EC3;h1E;0;1;1;1
-0,00050064;0;0;1;1;h1EC3;h1E;0;1;1;1
-0,00050063;0;1;1;1;h1EC3;h1E;0;1;1;1
-0,00050062;1;1;1;1;h1EC3;hDE;0;1;1;1
-0,00050061;1;1;1;1;h1EC3;hDE;0;1;1;1
-0,0005006;1;1;1;1;h1EC3;hDE;0;1;1;1
-0,00050059;1;1;1;1;h1EC3;hD6;0;1;1;1
-0,00050058;0;1;1;1;h1EC3;hD6;0;1;1;1
-0,00050057;0;1;1;1;h1EC3;hD6;0;1;1;1
-0,00050056;0;1;1;1;h1EC3;hD6;0;1;1;1
-0,00050055;0;1;1;1;h1EC3;hD6;0;1;1;1
-0,0005005399999999999;1;1;0;1;h1EC3;hD6;0;1;1;1
-0,00050053;1;1;0;1;h1EC3;hD6;0;0;1;1
-0,00050052;1;1;0;1;h1EC3;hD6;0;0;1;1
-0,00050051;1;1;0;1;h1EC3;hD6;0;0;1;1
-0,0005005;0;1;0;1;h1EC3;hD6;0;0;1;1
-0,00050049;0;1;0;1;h1EC3;hD6;0;0;1;1
-0,00050048;0;1;0;1;h1EC3;hD6;0;0;1;1
-0,00050047;0;1;0;1;h1EC3;hD6;0;0;1;1
-0,00050046;0;0;0;1;h1EC3;hD6;0;0;1;1
-0,00050045;1;0;0;1;h1EC3;hD6;0;0;1;1
-0,00050044;1;0;0;1;h1EC3;hD6;0;0;1;1
-0,00050043;1;0;0;1;h1EC3;hD6;0;0;1;1
-0,00050042;1;0;0;1;h1EC3;hD6;0;0;1;1
-0,00050041;0;0;0;1;h1EC3;hD6;0;0;1;1
-0,0005004;0;0;0;1;h1EC3;hD6;0;0;1;1
-0,00050039;0;0;0;1;h1EC3;hD6;0;0;1;1
-0,00050038;0;0;0;1;h1EC3;hD6;0;0;1;1
-0,00050037;1;0;1;1;h1EC3;hD6;0;0;1;1
-0,00050036;1;0;1;1;h1EC3;hD6;0;0;1;1
-0,00050035;1;0;1;1;h1EC3;hD6;0;0;1;1
-0,0005003400000000001;1;0;1;1;h1EC3;hD6;0;0;1;1
-0,00050033;0;0;1;1;h1EC3;hD6;1;0;1;1
-0,00050032;0;0;1;1;h1EC3;hD6;1;1;1;1
-0,00050031;0;0;1;1;h1EC3;hD6;1;1;1;1
-0,0005003;0;0;1;1;h81AD;hD6;1;1;1;1
-0,00050029;1;1;1;1;h81AD;hD6;1;1;1;1
-0,00050028;1;1;1;1;h81AD;hD6;1;1;1;1
-0,00050027;1;1;1;1;h81AD;hD6;1;1;1;1
-0,00050026;1;1;1;1;h81AD;hD6;1;1;1;1
-0,00050025;0;1;1;1;h81AD;hD6;0;1;1;1
-0,00050024;0;1;1;1;h81AD;hD6;0;1;1;1
-0,0005002300000000001;0;1;1;1;h81AD;hD6;0;1;1;1
-0,00050022;0;1;1;1;h81AD;h41;0;1;1;1
-0,00050021;0;1;0;1;h81AD;h41;0;1;1;1
-0,0005002;1;1;0;1;h81AD;h41;0;1;1;1
-0,00050019;1;1;0;1;h81AD;h41;0;1;1;1
-0,00050018;1;1;0;1;h81AD;h41;0;1;1;1
-0,00050017;1;1;0;1;h81AD;h41;0;1;1;1
-0,00050016;0;1;0;1;h81AD;h41;0;1;1;1
-0,00050015;0;1;0;1;h81AD;h41;0;1;1;1
-0,00050014;0;1;0;1;h81AD;h41;0;1;1;1
-0,00050013;0;1;0;1;h81AD;h41;0;1;1;1
-0,0005001199999999999;1;0;0;1;h81AD;h41;0;1;1;1
-0,00050011;1;0;0;1;h81AD;h41;0;0;1;1
-0,0005001;1;0;0;1;h81AD;h41;0;0;1;1
-0,00050009;1;0;0;1;h81AD;h41;0;0;1;1
-0,00050008;0;0;0;1;h81AD;h41;0;0;1;1
-0,00050007;0;0;0;1;h81AD;h41;0;0;1;1
-0,00050006;0;0;0;1;h81AD;h41;0;0;1;1
-0,00050005;0;0;0;1;h81AD;h41;0;0;1;1
-0,00050004;1;0;1;1;h81AD;h41;0;0;1;1
-0,00050003;1;0;1;1;h81AD;h41;0;0;1;1
-0,00050002;1;0;1;1;h81AD;h41;0;0;1;1
-0,00050001;1;0;1;1;h81AD;h41;0;0;1;1
-0,0005;0;0;1;1;h81AD;h41;0;0;1;1
-0,00049999;0;0;1;1;h81AD;h41;0;0;1;1
-0,00049998;0;0;1;1;h81AD;h41;0;0;1;1
-0,00049997;0;0;1;1;h81AD;h41;0;0;1;1
-0,00049996;0;1;1;1;h81AD;h41;0;0;1;1
-0,00049995;1;1;1;1;h81AD;h41;0;0;1;1
-0,00049994;1;1;1;1;h81AD;h41;0;0;1;1
-0,00049993;1;1;1;1;h81AD;h41;0;0;1;1
-0,0004999200000000001;1;1;1;1;h81AD;h41;1;0;1;1
-0,00049991;0;1;1;1;h81AD;h41;1;0;1;1
-0,0004999;0;1;1;1;h81AD;h41;1;1;1;1
-0,00049989;0;1;1;1;h81AD;h46;1;1;1;1
-0,00049988;0;1;1;1;h81AE;hD6;1;1;1;1
-0,00049987;1;1;0;1;h81AE;hD6;1;1;1;1
-0,00049986;1;1;0;1;h81AE;hD6;1;1;1;1
-0,00049985;1;1;0;1;h81AE;hD6;1;1;1;1
-0,00049984;1;1;0;1;h81AE;hD6;1;1;1;1
-0,00049983;0;1;0;1;h81AE;hD6;0;1;1;1
-0,00049982;0;1;0;1;h81AE;hD6;0;1;1;1
-0,0004998099999999999;0;1;0;1;h81AE;hD6;0;1;1;1
-0,0004998;0;1;0;1;h81AE;h26;0;1;1;1
-0,00049979;0;0;0;1;h81AE;h26;0;1;1;1
-0,00049978;1;0;0;1;h81AE;h26;0;1;1;1
-0,00049977;1;0;0;1;h81AE;h26;0;1;1;1
-0,00049976;1;0;0;1;h81AE;h26;0;1;1;1
-0,00049975;0;0;0;1;h81AE;h26;0;1;1;1
-0,00049974;0;0;0;1;h81AE;h26;0;1;1;1
-0,00049973;0;0;0;1;h81AE;h26;0;1;1;1
-0,00049972;0;0;0;1;h81AE;h26;0;1;1;1
-0,00049971;0;0;1;1;h81AE;h26;0;1;1;1
-0,0004996999999999999;1;0;1;1;h81AE;h26;0;1;1;1
-0,00049969;1;0;1;1;h81AE;h26;0;0;1;1
-0,00049968;1;0;1;1;h81AE;h26;0;0;1;1
-0,00049967;1;0;1;1;h81AE;h26;0;0;1;1
-0,00049966;0;0;1;1;h81AE;h26;0;0;1;1
-0,00049965;0;0;1;1;h81AE;h26;0;0;1;1
-0,00049964;0;0;1;1;h81AE;h26;0;0;1;1
-0,00049963;0;0;1;1;h81AE;h26;0;0;1;1
-0,00049962;1;1;1;1;h81AE;h26;0;0;1;1
-0,00049961;1;1;1;1;h81AE;h26;0;0;1;1
-0,0004996;1;1;1;1;h81AE;h26;0;0;1;1
-0,00049959;1;1;1;1;h81AE;h26;0;0;1;1
-0,00049958;0;1;1;1;h81AE;h26;0;0;1;1
-0,00049957;0;1;1;1;h81AE;h26;0;0;1;1
-0,00049956;0;1;1;1;h81AE;h26;0;0;1;1
-0,00049955;0;1;1;1;h81AE;h26;0;0;1;1
-0,00049954;0;1;0;1;h81AE;h26;0;0;1;1
-0,00049953;1;1;0;1;h81AE;h26;0;0;1;1
-0,00049952;1;1;0;1;h81AE;h26;0;0;1;1
-0,00049951;1;1;0;1;h81AE;h26;0;0;1;1
-0,0004995000000000001;1;1;0;1;h81AE;h26;1;0;1;1
-0,00049949;0;1;0;1;h81AE;h26;1;0;1;1
-0,00049948;0;1;0;1;h81AE;h26;1;1;1;1
-0,00049947;0;1;0;1;h81AE;hD6;1;1;1;1
-0,00049946;0;0;0;1;h81AF;hF7;1;1;1;1
-0,00049945;1;0;0;1;h81AF;hF7;1;1;1;1
-0,00049944;1;0;0;1;h81AF;hF7;1;1;1;1
-0,00049943;1;0;0;1;h81AF;hF7;1;1;1;1
-0,00049942;1;0;0;1;h81AF;hF7;1;1;1;1
-0,00049941;0;0;0;1;h81AF;hF7;1;1;1;1
-0,0004994;0;0;0;1;h81AF;hF7;1;1;1;1
-0,0004993899999999999;0;0;0;1;h81AF;hF7;1;1;1;1
-0,00049938;0;0;0;1;h81AF;hF7;1;1;1;1
-0,00049937;1;0;1;1;h81AF;hF7;1;1;1;1
-0,00049936;1;0;1;1;h81AF;hF7;1;1;1;1
-0,00049935;1;0;1;1;h81AF;hF7;1;1;1;1
-0,00049934;1;0;1;1;h81AF;hF7;1;1;1;1
-0,00049933;0;0;1;1;h81AF;hF7;1;1;1;1
-0,00049932;0;0;1;1;h81AF;hF7;1;1;1;1
-0,00049931;0;0;1;1;h81AF;hF7;1;1;1;1
-0,0004993;0;0;1;1;h1E86;hF7;1;1;1;1
-0,00049929;0;1;1;1;h1ED6;hF7;1;1;1;1
-0,0004992799999999999;1;1;1;1;h1ED6;hF7;1;1;1;1
-0,00049927;1;1;1;1;h1ED6;hF7;1;1;1;1
-0,00049926;1;1;1;1;h1ED6;hF7;1;1;1;1
-0,00049925;1;1;1;1;h1ED6;hF7;1;1;1;1
-0,00049924;0;1;1;1;h1ED6;hF7;1;1;1;1
-0,00049923;0;1;1;1;h1ED6;hF7;1;1;1;1
-0,00049922;0;1;1;1;h1ED6;hF7;1;1;1;1
-0,00049921;0;1;0;1;h1ED6;hF7;1;1;1;1
-0,0004992;1;1;0;1;h1ED6;hF7;1;1;1;1
-0,0004991900000000001;1;1;0;1;h1ED6;hF7;1;1;1;1
-0,00049918;1;1;0;1;h1ED6;hF7;1;1;1;1
-0,00049917;1;1;0;1;h1ED6;hF7;1;1;1;1
-0,00049916;0;1;0;1;h1ED6;hF7;1;1;1;1
