Time;CLK12;CKE;CKQ;ADDR;DATA;RWb;IOCS;DTAC;AS
-0,00049947;0;1;0;h1EC2;h1E;1;1;0;0
-0,00049946;0;1;0;h1EC2;h1E;1;1;0;0
-0,00049945;0;1;0;h1EC2;h1E;1;1;0;0
-0,00049944;0;0;0;h1EC2;h1E;1;1;0;0
-0,00049943;1;0;0;h1EC2;h1E;1;1;0;0
-0,00049942;1;0;0;h1EC2;h1E;1;1;0;0
-0,00049941;1;0;0;h1EC2;h1E;1;1;0;0
-0,0004994;0;0;0;h1EC2;h1E;1;1;0;1
-0,0004993899999999999;0;0;0;h1EC2;h1E;1;1;1;1
-0,00049938;0;0;0;h1EC2;h1E;1;1;1;1
-0,00049937;0;0;0;h1EC2;h1E;1;1;1;1
-0,00049936;0;0;1;h1EC3;h1E;1;1;1;1
-0,00049935;1;0;1;h1EC3;h1E;1;1;1;1
-0,00049934;1;0;1;h1EC3;h1E;1;1;1;1
-0,00049933;1;0;1;h1EC3;h1E;1;1;1;1
-0,00049932;0;0;1;h1EC3;h1E;1;1;1;0
-0,00049931;0;0;1;h1EC3;h1E;1;1;1;0
-0,0004993;0;0;1;h1EC3;h1E;1;1;1;0
-0,00049929;0;0;1;h1EC3;h1E;1;1;1;0
-0,0004992799999999999;0;1;1;h1EC3;h1E;1;1;1;0
-0,00049927;1;1;1;h1EC3;hDE;1;1;1;0
-0,00049926;1;1;1;h1EC3;hD8;1;1;1;0
-0,00049925;1;1;1;h1EC3;hC8;1;1;1;0
-0,00049924;0;1;1;h1EC3;hC8;1;1;1;0
-0,00049923;0;1;1;h1EC3;hC8;1;1;1;0
-0,00049922;0;1;1;h1EC3;hC8;1;1;1;0
-0,00049921;0;1;1;h1EC3;hC8;1;1;1;0
-0,0004992;1;1;0;h1EC3;hC8;1;1;1;0
-0,0004991900000000001;1;1;0;h1EC3;hC8;1;1;0;0
-0,00049918;1;1;0;h1EC3;hC8;1;1;0;0
-0,00049917;1;1;0;h1EC3;hC8;1;1;0;0
-0,00049916;0;1;0;h1EC3;hC8;1;1;0;0
-0,00049915;0;1;0;h1EC3;hC8;1;1;0;0
-0,00049914;0;1;0;h1EC3;hC8;1;1;0;0
-0,00049913;0;1;0;h1EC3;hC8;1;1;0;0
-0,00049912;1;0;0;h1EC3;hC8;1;1;0;0
-0,00049911;1;0;0;h1EC3;hC8;1;1;0;0
-0,0004991;1;0;0;h1EC3;hC8;1;1;0;0
-0,00049909;1;0;0;h1EC3;hC8;1;1;0;0
-0,0004990800000000001;0;0;0;h1EC3;hC8;1;1;0;0
-0,00049907;0;0;0;h1EC3;hC8;1;1;0;0
-0,00049906;0;0;0;h1EC3;hC8;1;1;0;0
-0,00049905;0;0;0;h1EC3;hC8;1;1;0;0
-0,00049904;1;0;1;h1EC3;hC8;1;1;0;0
-0,00049903;1;0;1;h1EC3;hC8;1;1;0;0
-0,00049902;1;0;1;h1EC3;hC8;1;1;0;0
-0,00049901;1;0;1;h1EC3;hC8;1;1;0;0
-0,000499;0;0;1;h1EC3;hC8;1;1;0;1
-0,00049899;0;0;1;h1EC3;hC8;1;1;1;1
-0,00049898;0;0;1;h1EC3;hC8;1;1;1;1
-0,0004989699999999999;0;0;1;h81AD;hC8;1;1;1;1
-0,00049896;1;1;1;h81AD;hC8;1;1;1;1
-0,00049895;1;1;1;h81AD;hC8;1;1;1;1
-0,00049894;1;1;1;h81AD;hC8;1;1;1;1
-0,00049893;1;1;1;h81AD;hC8;1;1;1;1
-0,00049892;0;1;1;h81AD;hC8;1;1;1;0
-0,00049891;0;1;1;h81AD;hC8;1;1;1;0
-0,0004989;0;1;1;h81AD;hC8;1;1;1;0
-0,00049889;0;1;1;h81AD;h41;1;1;1;0
-0,00049888;1;1;0;h81AD;h41;1;1;1;0
-0,00049887;1;1;0;h81AD;h41;1;1;1;0
-0,00049886;1;1;0;h81AD;h41;1;1;1;0
-0,00049885;1;1;0;h81AD;h41;1;1;1;0
-0,00049884;0;1;0;h81AD;h41;1;1;1;0
-0,00049883;0;1;0;h81AD;h41;1;1;1;0
-0,00049882;0;1;0;h81AD;h41;1;1;1;0
-0,00049881;0;1;0;h81AD;h41;1;1;1;0
-0,0004988;1;0;0;h81AD;h41;1;1;1;0
-0,00049879;1;0;0;h81AD;h41;1;1;0;0
-0,00049878;1;0;0;h81AD;h41;1;1;0;0
-0,0004987700000000001;1;0;0;h81AD;h41;1;1;0;0
-0,00049876;0;0;0;h81AD;h41;1;1;0;0
-0,00049875;0;0;0;h81AD;h41;1;1;0;0
-0,00049874;0;0;0;h81AD;h41;1;1;0;0
-0,00049873;0;0;0;h81AD;h41;1;1;0;0
-0,00049872;1;0;1;h81AD;h41;1;1;0;0
-0,00049871;1;0;1;h81AD;h41;1;1;0;0
-0,0004987;1;0;1;h81AD;h41;1;1;0;0
-0,00049869;1;0;1;h81AD;h41;1;1;0;0
-0,00049868;0;0;1;h81AD;h41;1;1;0;0
-0,00049867;0;0;1;h81AD;h41;1;1;0;0
-0,0004986600000000001;0;0;1;h81AD;h41;1;1;0;0
-0,00049865;0;1;1;h81AD;h41;1;1;0;0
-0,00049864;1;1;1;h81AD;h41;1;1;0;0
-0,00049863;1;1;1;h81AD;h41;1;1;0;0
-0,00049862;1;1;1;h81AD;h41;1;1;0;0
-0,00049861;1;1;1;h81AD;h41;1;1;0;1
-0,0004986;0;1;1;h81AD;h41;1;1;0;1
-0,00049859;0;1;1;h81AD;h41;1;1;1;1
-0,00049858;0;1;1;h81AD;hC8;1;1;1;1
-0,00049857;0;1;0;h81AE;hC8;1;1;1;1
-0,00049856;1;1;0;h81AE;hC8;1;1;1;1
-0,0004985499999999999;1;1;0;h81AE;hC8;1;1;1;1
