Time;NCLK12;CKE;CKQ;RESETb;ADDR;DATA;R/Wb;AS;DTAC;VRAMCS
-0,00015991;0;0;0;1;h1EE2;hFF;1;0;0;1
-0,0001599;1;0;0;1;h1EE2;hFF;1;0;0;1
-0,00015989;1;0;0;1;h1EE2;hFF;1;0;0;1
-0,00015988;1;0;0;1;h1EE2;hFF;1;0;0;1
-0,00015987;1;0;0;1;h1EE2;hFF;1;1;0;1
-0,00015986;0;0;0;1;h1EE2;hFF;1;1;0;1
-0,00015985;0;0;0;1;h1EE2;hFF;1;1;1;1
-0,00015984;0;0;0;1;h1EE2;hFF;1;1;1;1
-0,00015983;0;0;1;1;h1EE3;hFF;1;1;1;1
-0,00015982;1;0;1;1;h1EE3;hFF;1;1;1;1
-0,00015981;1;0;1;1;h1EE3;hFF;1;1;1;1
-0,0001598;1;0;1;1;h1EE3;hFF;1;1;1;1
-0,00015979;1;0;1;1;h1EE3;hFF;1;1;1;1
-0,00015978;0;0;1;1;h1EE3;hFF;1;0;1;1
-0,00015977;0;0;1;1;h1EE3;hFF;1;0;1;1
-0,00015976;0;0;1;1;h1EE3;hFF;1;0;1;1
-0,00015975;0;0;1;1;h1EE3;hFF;1;0;1;1
-0,00015974;1;1;1;1;h1EE3;hFF;1;0;1;1
-0,00015973;1;1;1;1;h1EE3;hFF;1;0;1;1
-0,00015972;1;1;1;1;h1EE3;hFF;1;0;1;1
-0,00015971;1;1;1;1;h1EE3;hFF;1;0;1;1
-0,0001597;0;1;1;1;h1EE3;hFF;1;0;1;1
-0,00015969;0;1;1;1;h1EE3;hFF;1;0;1;1
-0,00015968;0;1;1;1;h1EE3;hFF;1;0;1;1
-0,00015967;0;1;1;1;h1EE3;hFF;1;0;1;1
-0,00015966;1;1;0;1;h1EE3;hFF;1;0;1;1
-0,00015965;1;1;0;1;h1EE3;hFF;1;0;0;1
-0,00015964;1;1;0;1;h1EE3;hFF;1;0;0;1
-0,00015963;1;1;0;1;h1EE3;hFF;1;0;0;1
-0,00015962;0;1;0;1;h1EE3;hFF;1;0;0;1
-0,00015961;0;1;0;1;h1EE3;hFF;1;0;0;1
-0,0001596;0;1;0;1;h1EE3;hFF;1;0;0;1
-0,00015959;0;1;0;1;h1EE3;hFF;1;0;0;1
-0,00015958;1;0;0;1;h1EE3;hFF;1;0;0;1
-0,00015957;1;0;0;1;h1EE3;hFF;1;0;0;1
-0,00015956;1;0;0;1;h1EE3;hFF;1;0;0;1
-0,00015955;1;0;0;1;h1EE3;hFF;1;0;0;1
-0,00015954;0;0;0;1;h1EE3;hFF;1;0;0;1
-0,00015953;0;0;0;1;h1EE3;hFF;1;0;0;1
-0,00015952;0;0;0;1;h1EE3;hFF;1;0;0;1
-0,00015951;0;0;0;1;h1EE3;hFF;1;0;0;1
-0,0001595;0;0;1;1;h1EE3;hFF;1;0;0;1
-0,00015949;1;0;1;1;h1EE3;hFF;1;0;0;1
-0,00015948;1;0;1;1;h1EE3;hFF;1;0;0;1
-0,00015947;1;0;1;1;h1EE3;hFF;1;0;0;1
-0,00015946;1;0;1;1;h1EE3;hFF;1;1;0;1
-0,00015945;0;0;1;1;h1EE3;hFF;1;1;1;1
-0,00015944;0;0;1;1;h1EE3;hFF;1;1;1;1
-0,00015943;0;0;1;1;h00AB;hFF;1;1;1;1
-0,00015942;0;1;1;1;h81AF;hFF;1;1;1;1
-0,00015941;1;1;1;1;h81AF;hFF;1;1;1;1
-0,0001594;1;1;1;1;h81AF;hFF;1;1;1;1
-0,00015939;1;1;1;1;h81AF;hFF;1;1;1;1
-0,00015938;1;1;1;1;h81AF;hFF;1;0;1;1
-0,00015937;0;1;1;1;h81AF;hFF;1;0;1;1
-0,00015936;0;1;1;1;h81AF;hFF;1;0;1;1
-0,00015935;0;1;1;1;h81AF;hFF;1;0;1;1
-0,00015934;0;1;0;1;h81AF;h75;1;0;1;1
-0,00015933;1;1;0;1;h81AF;h75;1;0;1;1
-0,00015932;1;1;0;1;h81AF;h75;1;0;1;1
-0,00015931;1;1;0;1;h81AF;h75;1;0;1;1
-0,0001593;1;1;0;1;h81AF;h75;1;0;1;1
-0,00015929;0;1;0;1;h81AF;h75;1;0;1;1
-0,00015928;0;1;0;1;h81AF;h75;1;0;1;1
-0,00015927;0;1;0;1;h81AF;h75;1;0;1;1
-0,00015926;0;1;0;1;h81AF;h75;1;0;1;1
-0,00015925;1;0;0;1;h81AF;h75;1;0;1;1
-0,00015924;1;0;0;1;h81AF;h75;1;0;0;1
-0,00015923;1;0;0;1;h81AF;h75;1;0;0;1
-0,00015922;1;0;0;1;h81AF;h75;1;0;0;1
-0,00015921;0;0;0;1;h81AF;h75;1;0;0;1
-0,0001592;0;0;0;1;h81AF;h75;1;0;0;1
-0,00015919;0;0;0;1;h81AF;h75;1;0;0;1
-0,00015918;0;0;0;1;h81AF;h75;1;0;0;1
-0,00015917;1;0;1;1;h81AF;h75;1;0;0;1
-0,00015916;1;0;1;1;h81AF;h75;1;0;0;1
-0,00015915;1;0;1;1;h81AF;h75;1;0;0;1
-0,00015914;1;0;1;1;h81AF;h75;1;0;0;1
